AcresBurned,AdminUnit,ArchiveYear,Counties,CrewsInvolved,Engines,Extinguished,Fatalities,Helicopters,Injuries,Latitude,Longitude,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,Updated,WaterTenders
75,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",2013,San Bernardino,13,21,2013-05-15T08:15:00Z,,,1,34.1834,-117.4408,292,2013-05-13T13:30:00Z,,1,2013-05-15T08:15:00Z,13
70,CAL FIRE Sonoma-Lake-Napa Unit,2013,Lake,2,10,2013-08-18T18:30:00Z,,,,39.013682,-122.491894,,2013-08-16T17:57:00Z,,,2013-08-18T18:30:00Z,5
51,CAL FIRE San Luis Obispo Unit,2013,San Luis Obispo,5,15,2013-11-09T17:00:00Z,,2,,35.457978,-120.751555,219,2013-11-08T10:30:00Z,,,2013-11-09T17:00:00Z,
46,CAL FIRE Tuolumne-Calaveras Unit,2013,Calaveras,18,30,2013-08-19T07:10:00Z,,18,2,38.06231,-120.45233,169,2013-08-17T10:11:00Z,,,2013-08-19T07:10:00Z,18
32416,CAL FIRE / USFS - Lassen National Forest,2014,Shasta,1,8,2014-08-25T10:00:00Z,,,11,40.72,-121.562,78,2014-07-31T18:04:00Z,,21,2014-08-25T10:00:00Z,4
13153,CAL FIRE Lassen-Modoc Unit,2014,Modoc,7,20,2014-08-13T07:00:00Z,,2,7,41.1336,-121.2144,297,2014-07-30T19:01:00Z,,6,2014-08-13T07:00:00Z,4
4240,CAL FIRE Amador-El Dorado Unit,2014,Amador,1,3,2014-08-02T19:15:00Z,,,2,38.5691,-120.7819,40,2014-07-25T16:34:00Z,,67,2019-11-12T10:27:44.36Z,1
4240,CAL FIRE Amador-El Dorado Unit,2014,El Dorado,1,3,2014-08-02T19:15:00Z,,,2,38.5691,-120.7819,40,2014-07-25T16:34:00Z,,67,2019-11-12T10:27:44.36Z,1
2143,CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire,2014,San Bernardino,22,25,2014-05-05T17:30:00Z,,,3,34.169346,-117.547374,583,2014-04-30T08:00:00Z,1,0,2014-05-05T17:30:00Z,8
1995,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,2014,San Diego,13,21,2014-05-22T18:15:00Z,,,3,33.1137,-117.1599,514,2014-05-14T16:00:00Z,,40,2014-05-22T18:15:00Z,2
1548,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,2014,San Diego,4,,2014-05-17T20:14:00Z,,,3,33.003,-117.133,211,2014-05-13T11:00:00Z,,,2014-05-17T20:14:00Z,
1469,CAL FIRE Lassen-Modoc Unit / Modoc National Forest,2014,Modoc,8,17,2014-07-07T07:00:00Z,,2,,41.489,-120.904,427,2014-07-03T15:46:00Z,,,2014-07-07T07:00:00Z,4
1375,CAL FIRE Shasta-Trinity Unit,2014,Shasta,4,7,2014-09-16T09:30:00Z,,,4,40.7101,-122.171,169,2014-09-10T00:30:00Z,,4,2014-09-16T09:30:00Z,2
677,CAL FIRE Madera-Mariposa-Merced Unit,2014,Mariposa,2,2,2014-06-02T18:30:00Z,,,9,0,0,32,2014-05-26T15:33:00Z,,3,2014-06-02T18:30:00Z,
632,Santa Barbara County Fire,2014,Santa Barbara,10,10,2014-05-19T09:20:00Z,,1,,34.609,-120.454,548,2014-05-13T14:00:00Z,,,2014-05-19T09:20:00Z,3
612,CAL FIRE Madera-Mariposa-Merced Unit,2014,Madera,6,7,2014-08-25T08:25:00Z,,,3,37.3433,-119.6581,188,2014-08-18T13:50:00Z,,47,2014-08-25T08:25:00Z,3
580,CAL FIRE Shasta-Trinity Unit,2014,Trinity,82,3,2014-08-28T19:00:00Z,,,2,40.7412,-122.946,46,2014-08-24T16:36:00Z,,1,2014-08-28T19:00:00Z,
516,CAL FIRE Siskiyou Unit,2014,Siskiyou,14,10,2014-10-11T18:50:00Z,,,1,41.42384,-122.37432,453,2014-09-15T13:38:00Z,7,165,2014-10-11T18:50:00Z,
389,CAL FIRE Butte Unit,2014,Butte,29,46,2014-08-01T17:30:00Z,,1,4,0,0,835,2014-07-28T13:11:00Z,,,2014-08-01T17:30:00Z,13
320,CAL FIRE Madera-Mariposa-Merced Unit,2014,Madera,2,4,2014-09-22T07:15:00Z,,,4,37.311915,-119.604124,90,2014-09-14T13:36:00Z,2,69,2014-09-22T07:15:00Z,1
247,CAL FIRE Nevada-Yuba-Placer Unit,2014,Nevada,3,3,2014-09-18T18:45:00Z,,,,39.113682,-120.999508,53,2014-09-13T14:07:00Z,,,2014-09-18T18:45:00Z,1
217,CAL FIRE San Diego Unit,2014,San Diego,4,5,2014-07-06T09:15:00Z,,,4,33.078948,-116.576454,91,2014-07-03T10:43:00Z,,3,2014-07-06T09:15:00Z,
113,CAL FIRE San Bernardino Unit,2014,Inyo,11,12,2014-04-21T19:15:00Z,,2,,37.399,-118.352,256,2014-04-19T15:54:00Z,,,2014-04-21T19:15:00Z,
90,CAL FIRE Madera-Mariposa-Merced Unit,2014,Mariposa,12,15,2014-06-08T19:45:00Z,,4,,0,0,356,2014-06-06T17:29:00Z,,,2019-11-12T10:25:56.523Z,
75,CAL FIRE Shasta-Trinity Unit,2014,Shasta,5,3,2014-07-08T18:30:00Z,,,,40.5719,-121.3415,108,2014-07-05T18:44:00Z,,,2014-07-08T18:30:00Z,2
62,CAL FIRE Mendocino Unit,2014,Mendocino,2,2,2014-09-22T16:30:00Z,,,,0,0,42,2014-09-21T16:13:00Z,,,2014-09-22T16:30:00Z,
31,CAL FIRE Riverside County Fire,2014,Riverside,1,1,2014-06-07T19:00:00Z,,,,0,0,51,2014-06-06T17:32:00Z,,,2014-06-07T19:00:00Z,
69438,CAL FIRE Sonoma-Lake-Napa Unit,2015,Lake,6,24,2015-08-14T18:15:00Z,,,,38.8863538,-122.4762475,227,2015-07-29T15:29:00Z,8,96,2015-08-14T18:15:00Z,8
7000,CAL FIRE San Bernardino Unit,2015,Inyo,6,7,2015-02-12T07:35:00Z,,,4,0,0,100,2015-02-06T14:07:00Z,5,40,2015-02-12T07:35:00Z,
7000,CAL FIRE San Bernardino Unit,2015,Mono,6,7,2015-02-12T07:35:00Z,,,4,0,0,100,2015-02-06T14:07:00Z,5,40,2015-02-12T07:35:00Z,
4883,CAL FIRE Humboldt - Del Norte Unit,2015,Humboldt,39,57,2015-08-19T19:15:00Z,,10,14,0,0,1392,2015-07-30T16:02:00Z,,7,2015-08-19T19:15:00Z,10
4250,CAL FIRE San Bernardino Unit/ San Bernardino National Forest / San Bernardino County Fire ,2015,San Bernardino,4,,2015-07-21T07:00:00Z,,,,34.339,-117.478,215,2015-07-17T14:33:00Z,4,68,2015-07-21T07:00:00Z,
2446,CAL FIRE San Luis Obispo Unit/ Los Padres National Forest ,2015,San Luis Obispo,26,23,2015-08-28T18:15:00Z,,3,1,35.3477,-120.6269,692,2015-08-16T18:13:00Z,,1,2015-08-28T18:15:00Z,8
1049,CAL FIRE/Riverside County Fire,2015,Riverside,3,4,2015-04-24T07:30:00Z,,,,33.884313,-117.642759,54,2015-04-18T18:12:00Z,,,2015-04-24T07:30:00Z,
1042,CAL FIRE Butte Unit,2015,Butte,20,35,2015-09-17T19:30:00Z,,2,1,39.5218,-121.3363,613,2015-09-11T14:15:00Z,,,2015-09-17T19:30:00Z,6
920,CAL FIRE Madera-Mariposa-Merced Unit,2015,Madera,2,,2015-06-25T18:45:00Z,,,,37.165767,-119.523943,43,2015-06-18T21:00:00Z,,3,2015-06-25T18:45:00Z,2
860,CAL FIRE Butte Unit / Butte County Fire,2015,Butte,2,18,2015-10-04T18:40:00Z,,,,0,0,102,2015-10-03T21:15:00Z,,,2015-10-04T18:40:00Z,2
673,CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest,2015,Lake,4,10,2015-09-08T19:28:00Z,,,,55.23,-122,270,2015-09-02T14:57:00Z,,,2015-09-08T19:28:00Z,6
670,CAL FIRE San Benito - Monterey Unit,2015,San Benito,2,4,2015-10-16T18:00:00Z,,,3,36.70854,-121.32734,108,2015-10-12T16:00:00Z,,,2015-10-16T18:00:00Z,4
355,CAL FIRE Amador El Dorado Unit,2015,Amador,1,13,2015-07-02T06:36:00Z,,,,0,0,,2015-07-02T01:58:00Z,,,2015-07-02T06:36:00Z,5
212,CAL FIRE Shasta-Trinity Unit,2015,Shasta,3,20,2015-08-01T19:00:00Z,,2,2,40.415108,-122.439939,120,2015-07-29T17:55:00Z,1,5,2015-08-01T19:00:00Z,5
204,CAL FIRE Tuolumne-Calaveras Unit,2015,Tuolumne,5,9,2015-08-04T18:00:00Z,,,,37.823,-120.15644,115,2015-07-29T16:30:00Z,,,2015-08-04T18:00:00Z,2
158,CAL FIRE Nevada-Yuba-Placer Unit,2015,Yuba,11,25,2015-06-22T11:45:00Z,,4,3,39.2688,-121.26471,250,2015-06-18T13:07:00Z,,,2015-06-22T11:45:00Z,
150,CAL FIRE Sonoma-Lake-Napa,2015,Solano,13,15,2015-07-08T20:45:00Z,,0,,38.4113,-122.0789,275,2015-07-06T10:47:00Z,,,2015-07-08T20:45:00Z,5
110,CAL FIRE Amador-El Dorado Unit,2015,Sacramento,1,11,2015-09-03T14:30:00Z,,2,,0,0,,2015-09-03T12:12:00Z,,,2015-09-03T14:30:00Z,4
109,CAL FIRE Shasta-Trinity Unit,2015,Shasta,2,2,2015-09-13T10:15:00Z,,,,40.47512,-122.52541,45,2015-09-11T15:08:00Z,,,2015-09-13T10:15:00Z,1
108,CAL FIRE Tuolumne-Calaveras Unit,2015,Tuolumne,3,3,2015-09-15T19:15:00Z,,,1,38.04684,-120.30188,59,2015-09-08T13:23:00Z,,3,2015-09-15T19:15:00Z,
95,CAL FIRE San Luis Obispo Unit,2015,San Luis Obispo,14,15,2015-07-15T07:00:00Z,,2,,35.7183,-121.0157,379,2015-07-10T12:41:00Z,,,2015-07-15T07:00:00Z,2
86,CAL FIRE Tulare Unit,2015,Tulare,6,10,2015-08-05T17:45:00Z,,,4,36.49845,-118.9009,150,2015-07-30T12:40:00Z,,,2015-08-05T17:45:00Z,1
75,CAL FIRE Shasta-Trinity Unit,2015,Shasta,1,4,2015-07-31T18:40:00Z,,,2,40.509552,-122.199227,40,2015-07-29T16:30:00Z,,1,2015-07-31T18:40:00Z,4
72,CAL FIRE Butte Unit,2015,Butte,5,14,2015-09-03T19:35:00Z,,3,,26.42,-121,190,2015-09-02T13:18:00Z,,1,2015-09-03T19:35:00Z,5
40,CAL FIRE Sonoma-Lake-Napa Unit,2015,Solano,2,5,2015-07-10T17:00:00Z,,1,,38.1029,-122.1578,70,2015-07-10T13:36:00Z,,,2015-07-10T17:00:00Z,2
38,CAL FIRE Sonoma-Lake-Napa Unit,2015,Napa,4,8,2015-06-17T13:10:00Z,,2,,38.5287,-122.3415,120,2015-06-16T14:27:00Z,,,2015-06-17T13:10:00Z,4
36,CAL FIRE Sonoma-Lake-Napa Unit,2015,Napa,2,9,2015-06-10T09:45:00Z,,2,,0,0,103,2015-06-09T15:23:00Z,,,2015-06-10T09:45:00Z,2
25,CAL FIRE Madera-Mariposa-Merced Unit  ,2015,Mariposa,2,5,2015-06-09T09:00:00Z,,,,0,0,60,2015-06-07T12:06:00Z,,,2015-06-09T09:00:00Z,1
24,CAL FIRE Siskiyou Unit,2015,Siskiyou,2,3,2015-07-22T17:00:00Z,,,,41.999341,-121.891226,49,2015-07-21T17:00:00Z,,,2015-07-22T17:00:00Z,1
21,CAL FIRE Riverside County Fire,2015,Riverside,2,11,2015-07-12T19:48:00Z,,1,,33.986204,-117.43942,,2015-07-12T13:52:00Z,,,2015-07-12T19:48:00Z,2
20,CAL FIRE Humboldt-Del Norte Unit ,2015,Humboldt,10,12,2015-06-11T18:15:00Z,,,,41.1513,-123.8292,195,2015-06-10T07:42:00Z,,,2015-06-11T18:15:00Z,5
18,CAL FIRE Shasta-Trinity Unit,2015,Shasta,2,6,2015-07-08T16:30:00Z,,,1,40.5953,-122.4397,,2015-07-07T12:34:00Z,,,2015-07-08T16:30:00Z,3
36274,San Bernardino National Forest ,2016,San Bernardino,21,47,2016-08-23T07:45:00Z,,5,,34.30372,-117.49342,914,2016-08-16T10:44:00Z,3,321,2016-08-23T07:45:00Z,9
8110,San Bernardino National Forest,2016,San Bernardino,30,37,2016-08-16T08:00:00Z,,10,1,34.28771,-117.27338,960,2016-08-07T12:18:00Z,,,2016-08-16T08:00:00Z,7
5731,CAL FIRE Sonoma Lake Napa Unit,2016,Yolo,2,5,2016-08-12T15:00:00Z,,,,38.52513,-122.06788,58,2016-08-02T16:36:00Z,,2,2016-08-12T15:00:00Z,
4474,CAL FIRE Santa Clara Unit,2016,Santa Clara,1,3,2017-09-19T10:30:00Z,,,,37.10632,-121.85318,62,2016-09-26T14:42:00Z,1,28,2017-09-19T10:30:00Z,5
2944,CAL FIRE Fresno Unit,2016,Fresno,12,29,2016-07-05T07:05:00Z,,2,,36.0749,-120.452041,188,2016-07-01T17:16:00Z,,,2016-07-05T07:05:00Z,13
2575,CAL FIRE Lassen-Modoc Unit,2016,Lassen,3,2,2016-09-22T07:00:00Z,,,1,40.3915,-120.7845,78,2016-09-11T11:33:00Z,,7,2016-09-22T07:00:00Z,2
2241,CAL FIRE Fresno-Kings Unit,2016,Fresno,4,7,2016-08-09T18:30:00Z,,,,37.01591,-119.50507,167,2016-07-30T16:40:00Z,5,4,2016-08-09T18:30:00Z,6
1080,CAL FIRE Tuolumne-Calaveras Unit,2016,Tuolumne,2,2,2016-10-04T22:00:00Z,,,,37.79635,-120.32484,92,2016-09-26T12:20:00Z,,,2016-10-04T22:00:00Z,
850,CAL FIRE / Butte County Fire,2016,Butte,4,3,2016-09-12T14:51:00Z,,,3,39.6871,-121.571,133,2016-09-05T16:28:00Z,,3,2016-09-12T14:51:00Z,2
599,CAL Fire Humboldt-Del Norte Unit,2016,Humboldt,3,10,2016-09-04T06:55:00Z,,,,41.28486,-123.82268,174,2016-08-22T16:03:00Z,,3,2016-09-04T06:55:00Z,2
441,CAL FIRE Shasta-Trinity Unit,2016,Shasta,10,20,2016-07-12T07:00:00Z,,,1,40.36873,-122.72913,241,2016-07-08T22:45:00Z,,1,2016-07-12T07:00:00Z,5
360,CAL FIRE Tehama-Glenn Unit,2016,Tehama,6,12,2016-09-13T14:30:00Z,,2,,40.30594,-122.1295,168,2016-09-13T23:10:00Z,,,2016-09-13T14:30:00Z,5
215,CAL FIRE Sonoma-Lake-Napa Unit,2016,Lake,14,25,2016-06-28T20:00:00Z,,2,,39.12366,-122.50373,350,2016-06-26T16:00:00Z,,,2016-06-28T20:00:00Z,2
85,CAL FIRE Tuolumne-Calaveras Unit,2016,Tuolumne,3,6,2016-06-01T19:45:00Z,,,,37.927613,-120.528836,,2016-05-30T15:10:00Z,,,2016-06-01T19:45:00Z,
65,CAL FIRE Sonoma-Lake-Napa Unit,2016,Napa,4,5,2016-10-12T18:00:00Z,,,,38.40958,-122.43172,86,2016-10-10T16:13:00Z,,,2016-10-12T18:00:00Z,2
45,CAL FIRE Amador-El Dorado Unit,2016,Amador,5,18,2016-09-25T17:45:00Z,,2,,38.5212,-120.8416,150,2016-09-23T13:12:00Z,,,2016-09-25T17:45:00Z,3
30,CAL FIRE Butte Unit,2016,Butte,1,9,2016-05-29T19:53:00Z,,1,,39.624017,-121.595093,42,2016-05-29T16:51:00Z,,,2016-05-29T19:53:00Z,2
26,CAL FIRE Amador - El Dorado Unit,2016,Amador,2,8,2016-08-06T10:06:00Z,,,,38.2581,-120.8657,,2016-08-05T13:49:00Z,,,2016-08-06T10:06:00Z,3
36556,CAL FIRE Tulare Unit / USFS - Sequoia National Forest,2017,Tulare,28,138,2018-01-09T12:47:00Z,,7,5,36.15356,-118.74103,1728,2017-08-29T08:29:00Z,,2,2018-01-09T12:47:00Z,27
28687,Unified Command: CAL FIRE San Luis Obispo Unit / Santa Barbara County / Los Padres National Forest,2017,San Luis Obispo,21,92,2018-01-09T11:46:00Z,,,,35.0179,-120.3223,153,2017-07-06T15:44:00Z,1,0,2018-01-09T11:46:00Z,9
10343,CAL FIRE/Fresno County Fire,2017,Fresno,14,35,2018-01-09T10:04:00Z,,2,,36.12089,-120.37116,432,2017-05-18T13:11:00Z,,,2018-01-09T10:04:00Z,
9217,"Unified Command: CAL FIRE, Orange County, Anaheim City and Orange City",2017,Orange,13,51,2018-04-05T10:47:00Z,,1,4,33.87041,-117.70975,677,2017-10-09T09:51:00Z,55,25,2018-04-05T10:47:00Z,1
6049,"Unified Command: CAL FIRE, Los Angeles County Fire, Ventura County Fire, Los Angeles County Sheriff's Office, and Ventura County Sheriff's Office",2017,Los Angeles,18,55,2018-01-18T09:58:00Z,,2,,34.45283,-118.58188,652,2017-12-05T11:31:00Z,3,6,2018-01-18T09:58:00Z,6
6033,CAL FIRE Butte County Fire,2017,Butte,4,10,2018-01-09T11:47:00Z,,,0,39.45352,-121.41222,148,2017-07-07T14:52:00Z,60,41,2018-01-09T11:47:00Z,2
3874,CAL FIRE Riverside Unit,2017,Riverside,8,34,2018-01-09T12:50:00Z,,2,,33.97471,-117.09984,,2017-09-02T13:33:00Z,,,2018-01-09T12:50:00Z,1
2269,CAL FIRE Sonoma-Lake-Napa Unit ,2017,Yolo,4,10,2018-01-09T11:45:00Z,,,4,38.49521,-122.0251,123,2017-07-06T12:41:00Z,,,2018-01-09T11:45:00Z,1
1649,CAL FIRE / Fresno County Fire,2017,Fresno,17,35,2018-01-09T11:58:00Z,,1,,35.95911,-120.55579,727,2017-07-17T13:15:00Z,,,2018-01-09T11:58:00Z,7
995,CAL FIRE Shasta-Trinity Unit,2017,Shasta,14,15,2018-01-09T13:21:00Z,,2,3,40.98352,-121.81623,317,2017-09-12T06:58:00Z,,,2018-01-09T13:21:00Z,3
630,CAL FIRE Madera-Mariposa-Merced Unit,2017,Mariposa,1,,2018-01-09T11:10:00Z,,,,37.3762,-119.9646,380,2017-06-28T15:49:00Z,,,2018-01-09T11:10:00Z,5
392,CAL FIRE Nevada-Yuba-Placer Unit,2017,Nevada,1,2,2018-01-09T12:48:00Z,,,1,39.34292,-121.12004,48,2017-08-30T15:38:00Z,1,0,2018-01-09T12:48:00Z,1
