AcresBurned,AdminUnit,ArchiveYear,Counties,CrewsInvolved,Engines,Extinguished,Fatalities,Helicopters,Injuries,Latitude,Longitude,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,Updated,WaterTenders
229651,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area",2018,Trinity,5,11,2019-01-04T09:37:00Z,3,,0,40.65428,-122.62357,456,2018-07-23T13:15:00Z,61,1614,2019-10-25T09:47:17.29Z,31
153336,"Unified Command: CAL FIRE, Butte County Sheriff Department, Paradise Police Department, USFS",2018,Butte,11,73,2018-11-25T08:00:00Z,85,2,3,39.8134,-121.4347,1065,2018-11-08T06:33:00Z,,18804,2019-11-15T09:30:48.693Z,3
48920,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,2018,Colusa,58,256,2019-01-04T09:18:00Z,,20,,39.04786,-123.11971,3100,2018-07-27T13:01:00Z,,35,2019-10-25T10:07:14.547Z,79
48920,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,2018,Lake,58,256,2019-01-04T09:18:00Z,,20,,39.04786,-123.11971,3100,2018-07-27T13:01:00Z,,35,2019-10-25T10:07:14.547Z,79
48920,Unified command: CAL FIRE Mendocino Unit and USFS Mendocino National Forest ,2018,Mendocino,58,256,2019-01-04T09:18:00Z,,20,,39.04786,-123.11971,3100,2018-07-27T13:01:00Z,,35,2019-10-25T10:07:14.547Z,79
38008,CAL FIRE Siskiyou Unit,2018,Siskiyou,6,12,2019-01-04T09:55:00Z,1,2,3,41.893332,-122.534655,350,2018-07-05T12:31:00Z,12,83,2019-10-25T09:41:00.423Z,4
2883,Inyo National Forest Service ,2018,Inyo,20,22,2019-01-04T09:54:00Z,,7,,36.6734,-118.21881,564,2018-07-08T13:36:00Z,,,2019-01-04T09:54:00Z,4
2162,"Unified Command: CAL FIRE Sonoma-Lake-Napa Unit, Solano County Fire",2018,Solano,4,11,2019-01-04T09:20:00Z,,1,,38.431278,-122.043747,180,2018-08-10T16:57:00Z,,1,2019-01-04T09:20:00Z,4
1265,"Unified Command: CAL FIRE San Bernardino Unit, Cal Trans, and Inyo County Sheriff's Office",2018,Inyo,12,17,2019-01-03T13:09:00Z,,2,,36.71537,-118.08449,325,2018-04-19T10:28:00Z,,,2019-01-03T13:09:00Z,1
825,CAL FIRE Amador - El Dorado Unit,2018,Amador,4,15,2019-01-04T09:54:00Z,,1,,38.42623,-120.95408,,2018-07-06T14:42:00Z,,1,2019-10-25T09:43:02.967Z,4
320,Unified Command: CAL FIRE Santa Clara Unit and Milpitas Fire Department,2018,Santa Clara,1,5,2019-01-04T09:37:00Z,,,,37.449425,-121.88807,150,2018-07-22T13:06:00Z,,1,2019-01-04T09:37:00Z,
150,CAL FIRE Amador-El Dorado Unit,2018,El Dorado,12,30,2019-01-04T09:09:00Z,,2,,38.94388,-120.92611,,2018-09-04T15:03:00Z,,,2019-01-04T09:09:00Z,5
63,CAL FIRE Shasta-Trinity Unit,2018,Shasta,4,7,2019-01-04T09:38:00Z,,,,40.741186,-122.649626,98,2018-07-20T13:26:00Z,,,2019-01-04T09:38:00Z,4
51,CAL FIRE Shasta-Trinity Unit,2018,Shasta,7,24,2019-01-04T09:36:00Z,,,,40.824,-121.90215,192,2018-07-24T15:24:00Z,,,2019-01-04T09:36:00Z,6
43,CAL FIRE Butte Unit,2018,Butte,9,12,2019-01-04T09:40:00Z,,,2,39.57202,-121.43131,168,2018-07-19T12:00:00Z,,,2019-01-04T09:40:00Z,4
33,CAL FIRE Butte Unit,2018,Butte,4,5,2019-01-04T09:01:00Z,,,,39.84151,-121.62168,83,2018-09-24T00:41:00Z,,,2019-01-04T09:01:00Z,4
15,CAL FIRE/Riverside County Fire Department,2018,Riverside,2,18,2019-01-03T09:46:00Z,,1,,33.711263,-116.164058,105,2018-04-15T04:38:00Z,,,2019-01-03T09:46:00Z,2
13,CAL FIRE San Diego Unit,2018,San Diego,3,10,2019-01-04T09:39:00Z,,4,,33.04898,-116.78928,80,2018-07-20T13:07:00Z,1,0,2019-01-04T09:39:00Z,4
1011,"Unified Command: CAL FIRE/Riverside County Fire Department, City of Calimesa and City of Yucaipa",2019,Riverside,10,17,,2,1,,33.9925,-117.059167,247,2019-10-10T15:38:44Z,16,74,2019-11-01T15:14:13.32Z,1
494,CAL FIRE Riverside County Fire Department ,2019,Riverside,5,14,2019-11-02T18:44:00Z,,,,34.01778,-117.4625,126,2019-10-30T11:19:00Z,,,2019-11-02T18:52:09.347Z,1
37,CAL FIRE San Diego County Fire,2019,San Diego,4,10,2019-10-27T18:05:00Z,,4,,33.259861,-117.027333,100,2019-10-25T15:05:52Z,1,3,2019-10-27T18:29:19.843Z,2
77758,CAL FIRE Sonoma-Lake-Napa Unit,2019,Sonoma,2,5,2019-11-06T19:00:00Z,,0,4,38.792458,-122.780053,55,2019-10-23T21:27:00Z,60,374,2019-11-20T11:02:52.127Z,2
10296,Inyo National Forest     ,2019,Inyo,8,8,2019-11-21T16:09:00Z,,5,,37.034,-118.345,269,2019-09-06T12:43:35Z,,,2020-01-10T16:10:00.007Z,4
9999,Ventura County Fire Department ,2019,Ventura,17,45,2019-11-06T18:00:00Z,,,,34.302212,-118.997115,626,2019-10-31T20:58:28Z,,4,2019-11-06T18:27:43.47Z,3
8838,CAL FIRE Tehama Glenn Unit ,2019,Tehama,53,98,2019-09-13T19:00:00Z,,20,,40.12,-122.64,1936,2019-09-05T13:19:56Z,,2,2019-09-13T19:59:57.813Z,23
4615,Los Angeles County Fire Department ,2019,Los Angeles,8,69,,,0,,34.472778,-118.368056,509,2019-10-24T14:51:46Z,27,22,2019-10-31T07:39:12.177Z,
2534,CAL FIRE Tehama-Glenn Unit,2019,Tehama,2,2,2019-11-14T18:02:00Z,,,4,40.036379,-122.637837,69,2019-11-03T14:16:17Z,,,2019-11-18T08:28:54.537Z,
1926,CAL FIRE/Riverside County Fire Department ,2019,Riverside,0,1,2019-09-14T19:00:00Z,,,3,33.528469,-117.273157,35,2019-09-04T16:43:36Z,2,0,2019-09-14T19:15:55.197Z,1
756,CAL FIRE Tulare Unit,2019,Tulare,9,11,,,,,36.40193,-119.030621,185,2019-08-31T15:31:59Z,0,0,2019-09-04T08:53:01.337Z,2
600,CAL FIRE Shasta-Trinity Unit,2019,Shasta,8,9,2019-08-26T17:00:00Z,,,3,40.715556,-122.241944,187,2019-08-22T11:02:09Z,7,14,2019-10-02T16:06:52.9Z,
526,Unified Command: CAL FIRE Sonoma-Lake-Napa Unit and American Canyon Fire Protection District,2019,Napa,6,15,2019-10-07T18:34:00Z,,1,,38.165873,-122.211671,163,2019-10-06T16:36:50Z,,1,2019-10-09T13:52:17.697Z,4
520,CAL FIRE RRU (Riverside County Fire),2019,Riverside,8,34,,,1,,33.4853,-117.043723,235,2019-09-14T17:53:00Z,,,2019-09-17T20:05:34.223Z,3
496,CAL FIRE Butte County Fire ,2019,Butte,0,0,2019-09-13T19:00:00Z,,0,,39.45296,-121.412619,16,2019-09-07T15:06:00Z,0,2,2019-09-13T19:59:37.507Z,6
225,CAL FIRE Mendocino Unit,2019,Mendocino,16,16,2019-08-17T18:15:00Z,,,3,39.005262,-123.195306,328,2019-08-12T17:10:00Z,,,2019-08-18T07:10:42.087Z,6
220,Los Padres National Forest,2019,San Luis Obispo,8,20,2019-09-27T18:00:00Z,,2,4,35.214364,-120.455883,515,2019-09-21T14:26:00Z,,0,2019-10-24T11:23:10.07Z,2
200,CAL FIRE/San Diego County Fire,2019,San Diego,8,20,,,0,,32.787656,-116.806941,350,2019-09-24T15:00:00Z,,,2019-10-02T16:03:51.173Z,5
98,CAL FIRE / Riverside County Fire,2019,Riverside,9,17,2019-09-22T17:00:00Z,,,,33.900994,-117.170588,150,2019-09-21T17:22:00Z,,,2019-09-22T18:36:33.047Z,1
53,CAL FIRE Sonoma Lake Napa Unit,2019,Lake,2,10,2019-09-08T07:00:00Z,,,,38.955024,-122.833831,74,2019-09-07T14:00:00Z,,1,2019-09-08T07:45:11.27Z,3
28,Sonoma-Lake-Napa Unit,2019,Lake,2,4,2019-09-05T10:03:00Z,,,,38.910498,-122.642572,55,2019-09-04T16:26:00Z,,,2019-09-05T19:04:01.983Z,2
20,CAL FIRE Sonoma Lake Napa Unit & William Fire Department ,2019,Colusa,1,7,2019-08-14T18:51:00Z,,1,,39.088333,-122.309167,65,2019-08-14T12:52:00Z,,,2019-08-15T10:10:44.62Z,2
10,CAL FIRE Amador-El Dorado Unit,2019,Amador,2,5,2019-09-25T17:00:00Z,,,1,38.332083,-120.67131,45,2019-09-25T13:13:41Z,,,2019-09-25T17:41:10.107Z,
